Name,aH,Pop_total,pop_male,pop_female
Coesfeld,Kreis,227036,112454,114582
Ascheberg,16126,8060,8066
Billerbeck,Stadt,11818,5918,5900
Coesfeld,Stadt,37438,18509,18929
Dülmen,Stadt,48160,23655,24505
Havixbeck,12250,6112,6138
Lüdinghausen,Stadt,25293,12580,12713
Nordkirchen,10642,5246,5396
Nottuln,19954,9933,10021
Olfen,Stadt,13357,6446,6911
Rosendahl,10944,5546,5398
Senden,21054,10449,10605
Recklinghausen,Kreis,619929,302119,317810
Castrop-Rauxel,Stadt,74078,36269,37809
Datteln,Stadt,35299,17276,18023
Dorsten,Stadt,76151,36927,39224
Gladbeck,Stadt,75864,37009,38855
Haltern am See,Stadt,38078,18452,19626
Herten,Stadt,61956,30319,31637
Marl,Stadt,84574,41373,43201
Oer-Erkenschwick,Stadt,31954,15616,16338
Recklinghausen,Stadt,112457,54636,57821
Waltrop,Stadt,29518,14242,15276
Steinfurt,Kreis,460404,230002,230402
Altenberge,10476,5213,5263
Emsdetten,Stadt,36646,18198,18448
Greven,Stadt,38369,18869,19500
Hörstel,Stadt,21095,10673,10422
Hopsten,7828,4115,3713
Horstmar,Stadt,7848,4489,3359
Ibbenbüren,Stadt,52758,26112,26646
Ladbergen,7079,3514,3565
Laer,6963,3490,3473
Lengerich,Stadt,22908,11405,11503
Lienen,8849,4497,4352
Lotte,14474,7287,7187
Metelen,6605,3324,3281
Mettingen,12060,5962,6098
Neuenkirchen,14153,7120,7033
Nordwalde,9940,4943,4997
Ochtrup,Stadt,20427,10428,9999
Recke,11436,5715,5721
Rheine,Stadt,78439,38727,39712
Saerbeck,7104,3587,3517
Steinfurt,Stadt,35613,17767,17846
Tecklenburg,Stadt,9415,4653,4762
Westerkappeln,11479,5678,5801
Wettringen,8440,4236,4204
Warendorf,Kreis,283268,139895,143373
Ahlen,Stadt,53015,25871,27144
Beckum,Stadt,37459,18535,18924
Beelen,6176,3130,3046
Drensteinfurt,Stadt,15934,7854,8080
Ennigerloh,Stadt,19828,9884,9944
Everswinkel,9735,4840,4895
Oelde,Stadt,29789,14864,14925
Ostbevern,11741,5803,5938
Sassenberg,Stadt,14544,7355,7189
Sendenhorst,Stadt,13809,6827,6982
Telgte,Stadt,20322,9904,10418
Wadersloh,13023,6519,6504
Warendorf,Stadt,37893,18509,19384
Detmold,Regierungsbezirk,2086513,1030440,1056073
Bielefeld,krfr.Stadt,338084,163235,174849
Gütersloh,Kreis,372622,185629,186993
Borgholzhausen,Stadt,9227,4604,4623
Gütersloh,Stadt,102499,50689,51810
Halle (Westf.),Stadt,22074,10869,11205
Harsewinkel,Stadt,26134,13168,12966
Herzebrock-Clarholz,16203,8127,8076
Langenberg,8690,4411,4279
Rheda-Wiedenbrück,Stadt,49603,24813,24790
Rietberg,Stadt,30460,15354,15106
Schloß Holte-Stukenbrock,Stadt,27622,13609,14013
Steinhagen,20948,10331,10617
Verl,Stadt,25689,12952,12737
Versmold,Stadt,22245,11181,11064
Werther (Westf.),Stadt,11228,5521,5707
Herford,Kreis,253120,124654,128466
Bünde,Stadt,45778,22297,23481
Enger,Stadt,20797,10280,10517
Herford,Stadt,67240,32952,34288
Hiddenhausen,19971,9952,10019
Kirchlengern,16525,8222,8303
Löhne,Stadt,40139,19649,20490
Rödinghausen,9948,5018,4930
Spenge,Stadt,14429,7098,7331
Vlotho,Stadt,18293,9186,9107
Höxter,Kreis,142134,70952,71182
Bad Driburg,Stadt,19713,9807,9906
Beverungen,Stadt,13275,6570,6705
Borgentreich,Stadt,8631,4522,4109
Brakel,Stadt,16304,8165,8139
Höxter,Stadt,28794,14242,14552
Marienmünster,Stadt,4937,2510,2427
Nieheim,Stadt,6210,3246,2964
Steinheim,Stadt,12655,6211,6444
Warburg,Stadt,23276,11416,11860
Willebadessen,Stadt,8339,4263,4076
Lippe,Kreis,349174,171412,177762
Augustdorf,10183,5239,4944
Bad Salzuflen,Stadt,54444,26315,28129
Barntrup,Stadt,8550,4245,4305
Blomberg,Stadt,15404,7751,7653
Detmold,Stadt,74743,36098,38645
Dörentrup,7744,3924,3820
Extertal,10853,5376,5477
Horn-Bad Meinberg,Stadt,17295,8459,8836
Kalletal,13374,6629,6745
Lage,Stadt,35265,17314,17951
Lemgo,Stadt,40441,19970,20471
Leopoldshöhe,16746,8355,8391
Lügde,Stadt,9259,4563,4696
Oerlinghausen,Stadt,17275,8399,8876
Schieder-Schwalenberg,Stadt,8259,4099,4160
Schlangen,9339,4676,4663
Minden-Lübbecke,Kreis,315985,156335,159650
Bad Oeynhausen,Stadt,49613,24372,25241
Espelkamp,Stadt,25211,12266,12945
Hille,15745,7688,8057
Hüllhorst,13178,6616,6562
Lübbecke,Stadt,26176,12865,13311
Minden,Stadt,83081,40939,42142
Petershagen,Stadt,25247,12645,12602
Porta Westfalica,Stadt,36220,18122,18098
Preußisch Oldendorf,Stadt,12372,6096,6276
Rahden,Stadt,15892,8015,7877
Stemwede,13250,6711,6539
Paderborn,Kreis,315394,158223,157171
Altenbeken,9129,4596,4533
Bad Lippspringe,Stadt,16954,8203,8751
Borchen,13689,6814,6875
Büren,Stadt,21462,11084,10378
Delbrück,Stadt,33014,16770,16244
Hövelhof,16709,8441,8268
Lichtenau,Stadt,10959,5649,5310
Paderborn,Stadt,155527,77729,77798
Salzkotten,Stadt,25334,12574,12760
Bad Wünnenberg,Stadt,12617,6363,6254
Arnsberg,Regierungsbezirk,3602426,1774680,1827746
Bochum,krfr.Stadt,366736,179299,187437
Dortmund,krfr.Stadt,596720,293068,303652
Hagen,krfr.Stadt,190142,93307,96835
Hamm,krfr.Stadt,181156,89777,91379
Herne,krfr.Stadt,158162,77682,80480
Ennepe-Ruhr-Kreis,324371,157546,166825
Breckerfeld,Stadt,9128,4506,4622
Ennepetal,Stadt,30417,14756,15661
Gevelsberg,Stadt,31319,15276,16043
Hattingen,Stadt,54550,26492,28058
Herdecke,Stadt,22553,10704,11849
Schwelm,Stadt,28680,13786,14894
Sprockhövel,Stadt,24992,12094,12898
Wetter (Ruhr),Stadt,27278,13489,13789
Witten,Stadt,95454,46443,49011
Hochsauerlandkreis,261671,130884,130787
Arnsberg,Stadt,74108,36422,37686
Bestwig,10672,5414,5258
Brilon,Stadt,25575,12718,12857
Eslohe (Sauerland),8919,4548,4371
Hallenberg,Stadt,4535,2378,2157
Marsberg,Stadt,19714,10177,9537
Medebach,Stadt,8097,4109,3988
Meschede,Stadt,29983,14947,15036
Olsberg,Stadt,14445,7173,7272
Schmallenberg,Stadt,25077,12648,12429
Sundern (Sauerland),Stadt,27803,13924,13879
Winterberg,Stadt,12743,6426,6317
Märkischer Kreis,408289,201071,207218
Altena,Stadt,16349,8124,8225
Balve,Stadt,11108,5551,5557
Halver,Stadt,16286,8017,8269
Hemer,Stadt,33920,16815,17105
Herscheid,6910,3426,3484
Iserlohn,Stadt,92482,45114,47368
Kierspe,Stadt,16253,7996,8257
Lüdenscheid,Stadt,71175,34999,36176
Meinerzhagen,Stadt,20680,10262,10418
Menden (Sauerland),Stadt,52198,25509,26689
Nachrodt-Wiblingwerde,6450,3196,3254
Neuenrade,Stadt,11801,5863,5938
Plettenberg,Stadt,24785,12378,12407
Schalksmühle,10218,5073,5145
Werdohl,Stadt,17674,8748,8926
Olpe,Kreis,134378,67399,66979
Attendorn,Stadt,24467,12252,12215
Drolshagen,Stadt,11765,5930,5835
Finnentrop,16760,8549,8211
Kirchhundem,11464,5807,5657
Lennestadt,Stadt,25255,12630,12625
Olpe,Stadt,25010,12381,12629
Wenden,19657,9850,9807
Siegen-Wittgenstein,Kreis,276552,137428,139124
Bad Berleburg,Stadt,18875,9559,9316
Burbach,15252,7952,7300
Erndtebrück,6966,3564,3402
Freudenberg,Stadt,17729,8843,8886
Hilchenbach,Stadt,14674,7284,7390
Kreuztal,Stadt,31211,15412,15799
Bad Laasphe,Stadt,13455,6787,6668
Netphen,Stadt,23483,11659,11824
Neunkirchen,12871,6397,6474
Siegen,Stadt,102187,50114,52073
Wilnsdorf,19849,9857,9992
Soest,Kreis,306312,152691,153621
Anröchte,10384,5267,5117
Bad Sassendorf,12571,5979,6592
Ense,12409,6205,6204
Erwitte,Stadt,16457,8090,8367
Geseke,Stadt,21747,10832,10915
Lippetal,12063,6090,5973
Lippstadt,Stadt,69002,34053,34949
Möhnesee,11896,6236,5660
Rüthen,Stadt,11055,5692,5363
Soest,Stadt,48441,23688,24753
Warstein,Stadt,24447,12208,12239
Welver,11960,6003,5957
Werl,Stadt,30816,15769,15047
Wickede (Ruhr),13064,6579,6485
Unna,Kreis,397937,194528,203409
Bergkamen,Stadt,49434,24581,24853
Bönen,18195,8941,9254
Fröndenberg/Ruhr,Stadt,20443,10047,10396
Holzwickede,17590,8599,8991
Kamen,Stadt,42940,21050,21890
Lünen,Stadt,87265,42454,44811
Schwerte,Stadt,46662,23022,23640
Selm,Stadt,26538,13056,13482
Unna,Stadt,58959,28346,30613
Werne,Stadt,29911,14432,15479
Ruhrgebiet,4646867,2276066,2370801
